Title,URL,Username,Password
Producthunt,https://producthunt.com,Bode,ggKLb6t*fh3r!zpM
Ycombinator,https://news.ycombinator.com/,Marquardt,}*5xRs$#fGyf3gHF
Stackoverflow,https://www.stackoverflow.com,Dejuan,VpEKo^n%R3b!sX)mM1avE!Rp
Netflix,https://netflix.com,Patsy,jw\$MmJQ.5)}9_
Youtube,https://youtube.com,Aufderhar,uM..9gB*6qRb9
Twitter,https://twitter.com,Roma,MRp=\TH($5W:py]q
Instagram,https://instagram.com,Reynolds,4y$3(7NjNiUltu
Linkedin,https://linkedin.com,Khalid,b#t9EtA23$e*D
Snapchat,https://snapchat.com,Aufderhar,b9dRuUvS1R
Gmail,https://mail.google.com,Adella,O]LTPvTq
Facebook,https://facebook.com,Dickinson,tytAioiLtfNN2
Twitch,https://twitch.tv,Cade,JkC_!c5Mgk=b
Cloudflare,https://cloudflare.com,Patsy,LWPJv0KizB2th
Superpeer,https://superpeer.com,TalkWithMe,ddkkOO
Monofor,https://monofor.com,PassordManager,436tO12aa
Appcircle,https://appcircle.io,MobileCI/CD,ggKLb6tO12//
Binalyze,https://binalyze.com,IncidentResponse,llmmO)33
